seq,price,qty,side
0,100,7,S
1,100,1,S
2,101,6,B
3,101,1,B
4,100,1,S
5,101,6,B
6,100,6,S
7,101,8,B
8,101,2,B
9,100,9,S
10,100,8,S
11,101,5,B
12,101,10,B
13,100,9,S
14,100,9,S
15,100,4,S
16,100,3,S
17,100,2,S
18,100,1,S
19,101,4,B
20,101,8,B
21,101,1,B
22,101,4,B
23,100,4,S
24,100,4,S
25,100,4,S
26,100,2,S
27,101,3,B
28,101,4,B
29,100,2,S
30,100,7,S
31,100,3,S
32,100,4,S
33,100,3,S
34,100,3,B
35,99,5,S
36,99,1,S
37,99,6,S
38,99,1,S
39,99,2,S
40,99,2,S
41,100,1,B
42,100,4,B
43,100,6,B
44,99,1,S
45,99,4,S
46,99,4,S
47,100,3,B
48,99,4,S
49,99,6,S
50,100,2,S
51,99,1,S
52,101,3,B
53,101,7,B
54,100,4,B
55,99,4,S
56,99,3,S
57,99,2,S
58,99,3,S
59,99,6,S
60,98,2,S
61,99,3,B
62,99,2,B
63,100,5,B
64,101,5,B
65,101,5,B
66,101,4,B
67,101,1,B
68,99,6,S
69,98,9,S
70,98,1,S
71,98,1,S
72,99,3,B
73,100,3,S
74,100,2,S
75,98,1,S
76,99,3,B
77,100,4,S
78,101,8,B
79,101,1,B
80,101,3,B
81,101,4,B
82,101,1,B
83,101,8,B
84,101,1,B
85,101,3,B
86,102,6,B
87,102,3,B
88,102,1,B
89,102,5,B
90,102,5,B
91,100,1,S
92,100,2,S
93,100,2,S
94,99,1,S
95,101,4,B
96,102,3,B
97,99,1,S
98,99,1,S
99,99,6,S
100,98,2,S
101,98,1,S
102,98,1,S
103,99,3,B
104,100,1,B
105,99,6,S
106,100,3,B
107,100,1,B
108,99,2,S
109,99,1,S
110,99,1,B
111,99,2,B
112,98,3,S
113,98,1,S
114,98,7,S
115,99,1,B
116,98,2,S
117,98,2,S
118,99,2,B
119,99,1,B
120,100,2,B
121,98,3,S
122,99,3,S
123,98,3,S
124,100,2,B
125,100,2,S
126,99,7,S
127,101,2,B
128,99,2,S
129,99,8,S
130,100,3,B
131,100,5,B
132,101,2,B
133,101,5,B
134,100,3,S
135,100,4,S
136,101,3,B
137,101,5,B
138,100,6,S
139,100,1,S
140,99,2,S
141,99,1,S
142,100,4,B
143,100,5,S
144,99,1,S
145,101,1,B
146,101,2,B
147,101,4,B
148,101,4,B
149,100,7,S
150,99,1,S
151,100,2,B
152,99,4,S
153,99,1,S
154,100,1,B
155,101,4,B
156,101,5,B
157,101,4,B
158,101,2,B
159,101,6,B
160,100,5,S
161,101,2,B
162,101,2,B
163,101,3,B
164,100,4,S
165,101,4,B
166,101,3,B
167,100,5,S
168,100,3,S
169,99,3,S
170,100,1,B
171,99,2,S
172,99,4,S
173,99,1,S
174,99,2,S
175,99,2,S
176,100,1,B
177,100,7,B
178,101,1,B
179,101,2,B
180,99,7,S
181,99,2,S
182,101,1,B
183,101,2,B
184,101,4,B
185,101,6,S
186,100,3,S
187,99,1,S
188,102,2,B
189,102,3,B
190,102,3,B
191,102,1,B
192,100,3,S
193,99,3,S
194,102,2,B
195,102,5,B
196,101,7,S
197,102,3,B
198,102,1,B
199,102,1,B
200,102,4,B
201,102,1,B
202,101,2,S
203,101,3,S
204,101,5,S
205,100,4,S
206,102,8,B
207,102,2,B
208,102,1,B
209,101,7,S
210,100,1,S
211,100,2,S
212,101,5,S
213,101,1,S
214,100,2,S
215,100,1,S
216,100,2,S
217,99,2,S
218,100,2,S
219,99,3,S
220,99,1,S
221,99,9,S
222,101,3,B
223,102,3,B
224,102,2,B
225,99,1,S
226,99,1,S
227,102,4,B
228,102,3,B
229,102,6,S
230,100,8,S
231,100,1,S
232,100,3,B
233,100,6,B
234,101,3,B
235,101,4,B
236,100,1,S
237,99,5,S
238,99,4,S
239,100,1,B
240,99,5,S
241,99,3,S
242,99,6,S
243,99,1,S
244,99,8,S
245,99,1,S
246,99,1,S
247,98,1,S
248,98,1,S
249,100,3,B
250,101,1,B
251,101,4,B
252,101,4,B
253,101,1,B
254,101,3,B
255,100,8,S
256,99,3,S
